timestamp,spot,gex_total_vol,zero_gamma
14:14:06,24979.67,5700.238,0
14:20:02,24979.67,5700.238,0
14:25:01,24979.67,5700.238,0
14:30:02,24979.67,5700.238,0
14:35:02,25172.53,141.491,0
14:40:02,25195.48,321.601,0
14:45:02,25220.71,490.973,0
14:50:02,25265.98,1379.207,0
14:55:02,25285.68,1646.566,0
15:00:01,25291.05,1493.852,0
15:05:02,25283.51,1497.651,0
15:10:02,25263.42,1277.61,0
15:15:02,25255.36,1198.205,0
15:20:01,25248.99,891.023,0
15:25:02,25260.64,1294.194,0
15:30:02,25285.33,1764.412,0
15:35:02,25249.45,1226.701,0
15:40:02,25248.76,1161.143,0
15:45:03,25249.11,1312.386,0
15:50:02,25250.38,1267.226,0
15:55:02,25234.27,1002.621,0
16:00:02,25246.11,1026.605,0
16:05:02,25239.86,1091.202,0
16:10:02,25251.97,1137.703,0
16:15:02,25246.48,958.129,0
16:20:02,25239.09,940.937,0
16:25:02,25243.47,984.373,0
16:30:02,25250.37,1064.799,0
16:35:02,25251.13,1521.318,0
16:40:02,25261.17,1436.595,0
16:45:02,25272.01,2124.994,0
16:50:02,25270.97,2152.378,0
20:49:52,25332.08,6201.856,0
