timestamp,spot,gex_total_vol,zero_gamma
14:14:06,389.05,8.281,0
14:20:02,389.05,8.281,0
14:25:01,389.05,8.281,0
14:30:02,390.51,0,0
14:35:02,392.7,-0.835,0
14:40:02,393.06,7.392,0
14:45:02,393.02,5.128,0
14:50:02,394.91,13.875,0
14:55:02,396.45,11.178,0
15:00:01,397.98,35.841,0
15:05:02,398.64,26.342,0
15:10:02,396.87,17.328,0
15:15:02,397.37,16.575,0
15:20:01,397.58,14.677,0
15:25:02,398.88,20.534,0
15:30:02,398.98,21.515,0
15:35:02,398.33,20.662,0
15:40:02,399.1,16.775,0
15:45:03,399.78,26.865,0
15:50:02,399.13,15.944,0
15:55:02,398.15,8.775,0
16:00:02,398.74,12.401,0
